complaint_type_x,complaint_type_y,descriptor_x,descriptor_y,incident_address
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,2405 SOUTHERN BOULEVARD
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,2405 SOUTHERN BOULEVARD
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,2405 SOUTHERN BOULEVARD
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,2405 SOUTHERN BOULEVARD
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,2405 SOUTHERN BOULEVARD
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,2405 SOUTHERN BOULEVARD
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,2405 SOUTHERN BOULEVARD
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,2405 SOUTHERN BOULEVARD
GENERAL,Noise - Residential,CABINET,Banging/Pounding,2405 SOUTHERN BOULEVARD
GENERAL,Noise - Residential,CABINET,Banging/Pounding,2405 SOUTHERN BOULEVARD
ELECTRIC,Noise - Residential,OUTLET/SWITCH,Banging/Pounding,2405 SOUTHERN BOULEVARD
ELECTRIC,Noise - Residential,OUTLET/SWITCH,Banging/Pounding,2405 SOUTHERN BOULEVARD
ELECTRIC,Noise - Residential,OUTLET/SWITCH,Banging/Pounding,2405 SOUTHERN BOULEVARD
ELECTRIC,Noise - Residential,OUTLET/SWITCH,Banging/Pounding,2405 SOUTHERN BOULEVARD
ELECTRIC,Noise - Residential,OUTLET/SWITCH,Banging/Pounding,2405 SOUTHERN BOULEVARD
ELECTRIC,Noise - Residential,OUTLET/SWITCH,Banging/Pounding,2405 SOUTHERN BOULEVARD
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,2405 SOUTHERN BOULEVARD
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,2405 SOUTHERN BOULEVARD
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Banging/Pounding,206-09 86 ROAD
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,131-11 KEW GARDENS ROAD
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,131-11 KEW GARDENS ROAD
PAINT/PLASTER,Noise - Residential,WALL,Loud Music/Party,131-11 KEW GARDENS ROAD
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Loud Music/Party,3530 ROCHAMBEAU AVENUE
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Loud Music/Party,3530 ROCHAMBEAU AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,3530 ROCHAMBEAU AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,3530 ROCHAMBEAU AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,3530 ROCHAMBEAU AVENUE
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Loud Music/Party,235 MT HOPE PLACE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,235 MT HOPE PLACE
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Loud Music/Party,235 MT HOPE PLACE
OUTSIDE BUILDING,Noise - Residential,ROOF DOOR/HATCH,Loud Music/Party,235 MT HOPE PLACE
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Loud Music/Party,235 MT HOPE PLACE
HEAT/HOT WATER,Noise - Residential,APARTMENT ONLY,Loud Music/Party,235 MT HOPE PLACE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Loud Music/Party,89-21 ELMHURST AVENUE
HEAT/HOT WATER,Noise - Residential,ENTIRE BUILDING,Banging/Pounding,89-21 ELMHURST AVENUE
